Quantity,Item,Description,Manufacturer,Link,Cost (No Tax/Shipping)
12,Servo,Powers the wheels and the camera module.,WOWROBO,https://shop.wowrobo.com/products/feetech-sts3215-servo-12v-30kg-high-torque-servo-for-so-arm100?variant=48037575098585, $ 171.88 
1,RPi5/8GB,"Powers the camera module, controls the rover. The ""brains.""",AAAWave,https://aaawave.com/products/raspberry-pi-5-development-broad?variant=51441087152449, $ 150.00 
1,MicroSD,High-powered SD card for video streaming.,Sandisk,https://www.sandisk.com/products/memory-cards/microsd-cards/sandisk-extreme-uhs-i-microsd?sku=SDSQXAH-064G-GN6MA&ef_id=CjwKCAjw08fSBhA7EiwAfbQTsPx3cN8aB8uRMxURR1R-_cF_jo6hdMXSVhwkk3xbFUuyQjc5Nw6JhhoCvhoQAvD_BwE:G:s&s_kwcid=AL!15012!3!!!!x!!!21840826498!&utm_medium=pdsh2&utm_source=gads&utm_campaign=Google-B2C-Conversion-Pmax-NA-US-EN-Memory_Card-All-All-Brand&utm_content=&utm_term=SDSQXAH-064G-GN6MA&cp2=&gad_source=1&gad_campaignid=21836907008&gbraid=0AAAAA-HVYqlJmcvXP8ef7hgjz_7GGBe63&gclid=CjwKCAjw08fSBhA7EiwAfbQTsPx3cN8aB8uRMxURR1R-_cF_jo6hdMXSVhwkk3xbFUuyQjc5Nw6JhhoCvhoQAvD_BwE, $ 25.99 
1,RPi Active Cooler,Provides cooling (improving performance) to the RPi.,Waveshare,https://www.waveshare.com/pi5-active-cooler-b.htm?srsltid=AfmBOorIETeNn6eYTmvhfjgxaVe1lQFtRIerl5n4vl6x1gulRuQlPhX_72c, $ 4.99 
1,Servo Driver HAT,Allows the RPi to control the servos.,,https://www.waveshare.com/bus-servo-driver-hat-a.htm?srsltid=AfmBOoqlVvUrJe6M87IZNdOID4P7R1Pltj9HDUx99dEpqoArwkGcl-Qk, $ 18.99 
1,RPi AI Camera,Allows the RPi to run object detection/livestreaming.,Adafruit,https://www.adafruit.com/product/6009?src=raspberrypi, $ 77.00 
1,Camera Cable - 500mm,Extends the camera module's range.,,https://www.adafruit.com/product/5820?srsltid=AfmBOoq0_7Ll8hyILvBrmsxwfYfdwfZmTf9yRLH91rP_sw95HGtR5fxP, $ 2.50 
3,US-100 Sensor,Allows the RPi to run object avoidance.,,https://www.adafruit.com/product/4019?srsltid=AfmBOopqUSDoBiL8bs7c9R5A7LaGi7uTEd9SzVgCAapdYCJEvjR4OtMU, $ 20.85 
1,"Stacking Header, GPIO",Allows the HAT to be attached onto the Pi alongside the Active Cooler.,,https://www.adafruit.com/product/2223?srsltid=AfmBOorZS7ULUgY6qKUJ5o-jUqtQg7W5RX7llEZ9OVBLOYnNy2c10-HJ, $ 2.95 
12,Male to JST-PH Wires,Allows for the solderless wiring (acting as a breakout board for power-injection).,,https://www.adafruit.com/product/3893, $ 15.00 
12,Female to JST-PH,"Same role as the male wires, composite.",Electromaker,https://www.electromaker.io/shop/product/stemma-jst-ph-3-pin-to-female-socket-cable-200mm?srsltid=AfmBOoor4qgoh85r9CTrWn--_YdJ4-AS2ky31nekim2vtHqDZs7TjVwO, $ 15.00 
1,Ball Bearings,Facilitate the rocker-bogie's rotational freedom.,Amazon,https://www.amazon.com/uxcell-F6901ZZ-Flanged-Bearings-Shielded/dp/B0G1B7H48R/ref=sr_1_7_sspa?crid=JAA7EEQB1MK7&dib=eyJ2IjoiMSJ9.R1GqknQKbk72D7fqKNiJSMeJp6OfUFJRV-qDMKi818pFJDLXGO_XdT_rhyIzrHWJk2wbelVzPU70FqVyDpzP-Feax62ltJ_eKAzW5nWuN1STHdQqcb7WJ79plJJCxsRJ1ALduwgs_r0YmUlzOdq8qroO7Jw9k8oAqu6BgwqOnaYbAmC5d1s8QRifY_2G44-VF3vkcmfMcHVgk9FyFk3OYzoqWe0WpJWWW4tZlaOnexg.eBaMTTB-rTQsRDvsGLDvSYWbIMnxBuEiB6NS4SVBoyI&dib_tag=se&keywords=flanged%2Bbearings%2B5%2Bpack&qid=1783280410&sprefix=flanged%2Bbearings%2Bpack%2Caps%2C262&sr=8-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1, $ 7.82 
1,VK-162,Allow the RPi to gain GPS-based autonomous capabilities.,,https://www.amazon.com/Navigation-External-Receiver-Raspberry-Geekstory/dp/B078Y52FGQ, $ 17.98 
1,LiFePO4 12V 15Ah Battery,Powers the rover.,,https://www.amazon.com/12-8V-20Ah-LiFePO4-Battery-Lithium/dp/B0DHKS1GK6/ref=sr_1_1?dib=eyJ2IjoiMSJ9.y_BB4ZUVDy_P1iab0mtJLrdIAZYM7q4WCWsY8scMLNXGjHj071QN20LucGBJIEps.JQbr0-LXd9MNLlsY3c5s25VIblkiRtRJFjGmbfGUKEM&dib_tag=se&keywords=%2FOKMO-LiFePO4-Lithium-Battery-rechargeable&qid=1784523658&sr=8-1&th=1, $ 53.19 
1,LiFePO4 Charger,Charges the battery.,,https://www.amazon.com/dp/B078962VRM/ref=sspa_dk_detail_5?pd_rd_i=B078962VRM&pd_rd_w=kG1K0&content-id=amzn1.sym.3bc66c0a-cc61-4816-aa2d-e53327eaddb6&pf_rd_p=3bc66c0a-cc61-4816-aa2d-e53327eaddb6&pf_rd_r=2EN17ZGB62S0Y7BY4V2A&pd_rd_wg=lniO8&pd_rd_r=9ebd6d83-6c69-4011-8045-51052e2f7a57&s=automotive&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1, $ 25.07 
1,WAGO 221-415 (25 Pack),Facilitate the solderless connections with the power gauge wire and the Male/Females.,,https://www.amazon.com/WAGO-221-415-Lever-Nuts-5-Conductor-Connectors/dp/B07WC2XBMK/ref=sr_1_3?crid=1Y4UMK72IU0KE&dib=eyJ2IjoiMSJ9.50o6xZpoqDlZ8omkj13aOe-52ADZqlJZZ2HGRZV4G4sneYPQ6xb_DikSp8RpcvN0DBk1a2v8dxq49XrN42W7LNnGjXFtq3y7xIgZs4NvUIWvWIJKZc9qG3yGzRI2wOlqaU5Bq8IAe7SasYoGuYs8V0DrRtKQFN6qGFsemjZ61LskeQYL5cqHR_CbSxLIchTa14ECuUnqwtLHJ-u1zsCXml__pUhmvqrxciWPZMJAhzA.pDMg2Rr-C8xadz-czjb1gaTF1LNnv2UsXZDu2epE-r4&dib_tag=se&keywords=WAGO%2B221-415%2B10PK&qid=1784002188&sprefix=wago%2B221-415%2B10pk%2Caps%2C255&sr=8-3&th=1, $ 17.99 
1,Breadboard Jumper Wires Set,To extend the Male/Female JST-PH wires.,,https://www.amazon.com/EDGELEC-Breadboard-Optional-Assorted-Multicolored/dp/B07GD2PGY4/ref=sr_1_6?crid=2MK7NBH14YLRW&dib=eyJ2IjoiMSJ9.VcNFeYpulSX_NTIy1KXkQrXvpn6LZSIWc9lS_Ok37UfSvTtKNV0iZRr48lrFz1mfAQKtSV08kj8JXmJ1U4Hm3Xi30wpAyGGZO3uCR-MyQUmyuoBPgXhsf-6I3yUFnwslJNjPZHQzrD2J-fUtnB50ubBnhmm92eWjzZIUgoZXMWFWLp7VIpYzO1PulMBNa8OdLgpiG-pPArEEUmu08BtavHrZVdjA9-_YJTzRZ4HgP7oYeBuZjl0EU-WrZWpD3xqALtq3uxBeCZnLgWwgbFf61NYgXSDwIGsAeVvT6ajnJlY._mN2kkYH5lxd7vxJgQBMzo2gb675SdWwM4LYCtG7djI&dib_tag=se&keywords=22awg%2Bjumpers&qid=1784002567&s=industrial&sprefix=22awg%2Bjumper%2Cindustrial%2C198&sr=1-6&th=1, $ 8.99 
1,Heat Shrink Tubing Set,Allow for the solderless collections to be solid.,,https://www.amazon.com/Eventronic-560-Heat-Shrink-Tubing/dp/B0DK15C58W/ref=sr_1_1_sspa?crid=3AQV12YEFCV1T&dib=eyJ2IjoiMSJ9.V0KdFk2gUHHbWIfdfVHi0mLaixxYhdknsOWFBFNOTVXiwW1Vhc6zYarqKzwzIoN_30Fp4M07VOVphQ8paklFXEqzbX6TKRATQ-mLDmjSRYSM0Go_qy78nYqSn_62AEAnSgOoxx_89LbiLEXvHigCLo4vb3icg1m4uYylMz3ma77KAtUOfHzapp3BQh9z8OSp47NeDZ7Hw1yLNCGXkgO4J6nuznGfW-TwG-SxqEPwlkUZygbjfL5N32Dm5YJxS2C7T6YJ3O6PGnp2PxtpXZD-D39CAELMpBgdMILF6fzTRxY.5GvARFr_xOI4ByuMr66gOGRyFWwu0uYEI7lfnXCKQP8&dib_tag=se&keywords=heat+shrink&qid=1784003412&s=hi&sprefix=heat+shrink%2Ctools%2C193&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1, $ 13.59 
1,Mini Heat Gun,Combine with the Heat Shrink Tubing,,https://www.amazon.com/QWORK-Shrink-Shrinking-Wrapping-Embossing/dp/B09NDCCW29/ref=sr_1_3?crid=JSMJGQAUFLIQ&dib=eyJ2IjoiMSJ9._2pPUDN-2QN4OWnmmr95xqMJ6kXv7JzC_PSDlbsZikB5YbcPTkAZG1rDhiU8cYAdRblHnC-uN9SGoVyM3U8QaohoK9ZDk5lPGX2t7mLg00d_To9UKuM7QXjGAxSKfCsVvLVcKJH4tsZIGD-ekZE2NCC1_iLFh15Y9ngUKkuJH6u-W8z1ae7jNmB3SiclTfZbTmyxRMyivZ6BkUeUKiDQJtjq5rDcI8r-zgE4zUZq7rVt8RXI_HNnlARe2HODvHHom9sfYW06SztT2ATYIEpIyE4slHSQJGrXrt4HJvUGTBM.NgbO58wXg-6rgtpzltpqgsphAqcnyzOX2xPuvYC7r_g&dib_tag=se&keywords=heat+shrink+with+heater&qid=1784003425&s=hi&sprefix=heat+shrink+with+heate%2Ctools%2C190&sr=1-3, $ 8.72 
2,20A 300W Adjustable Buck Converter,Allows for the power source to safely distribute power to the Pi/Servos.,,https://www.amazon.ca/XLX-High-Power-Converter-Adjustable-Protection/dp/B081X5YX8V/ref=sr_1_2?crid=20LCX49KWPSVN&dib=eyJ2IjoiMSJ9.tLqm_hBIhJ1SfbtpkfQ3uDIvpMZhJpko9_5rrw9mW7uT3XBDWbPaVursT136F9qnB7hGLlbpqCfZfM8lCOe21X0SMs2z5wzYVakJZza75DeUTY2FKM57t2bjz6vA8MuSIIE96WeF4yc3OtV32gjoYqhYQSAqz-4R2-GP62kLgYkROQQyG7QnvPeWSgdqDHIQyuTK1aJYdj3MfER1qem23jE2vK45_1C6guCKzurtA-sMGq79Yu-g2eGxaxer-QE4IyjyqtgxKHc3C6hdt3ILFZfcy8adlKjjchQMoM6NiACW8kTUu6R4JaHRmbZ0o_yfxALgAcgZYtFp67Of9p65J9UFOdo0pjgXxpQ9FhERYuFJmjh4-jgIduI8fz6MuLe3HBDd81kIlOc7Cb5wzOOcc9RuriLaAVPPIHZMLriwT_FA4Ffmt3ha0cyn1uPRrN_L.Amoh1ZyVaNxY09o9pEImMFIl4wWGdVKHoTPTz88p6Io&dib_tag=se&keywords=300w+dc+to+dc&qid=1741972592&sprefix=%2Caps%2C451&sr=8-2, $ 31.98 
1,20A ANL Fuse,Protects the inner circuitry.,,https://www.amazon.com/RENOGY-30A-ANL-Fuse-Holder/dp/B01LXQWZ7L/ref=sr_1_16?dib=eyJ2IjoiMSJ9.nrZQZTWjSaS4cFv9cj2BgkpgM23_y7ktZudKUIW7yECa7Cu6i5ivEn46pGWB4ks7w-YSJG_p-J77b1PyPnwkrWpg40sAxJPSJzQtSgYUwR6CReIunbbXl-pHi_GtBY2uYJDnxv7H_QTuDlvLJgT6uYp-Qu6pXkl-5ChLzB77QCwXkkcA07ehyy1IOi0WD5czptkiaOZ1HzND6oFFJfAcOXIL6TOEN8Qx2fcWWvmOBX4.uaj3WDmVlN3ujR22jfNIh7tRg03SMYZKFgXSqJ5Nj5o&dib_tag=se&keywords=30a%2Bmidi%2Bfuse&qid=1784004301&sr=8-16&th=1, $ 12.99 
1,Spade Terminal Connectors,Allow for a solderless connection to the battery.,,https://www.amazon.com/Feggizuli-Connectors-Connector-Terminals-Electrical/dp/B0B4H54KPS/ref=sr_1_4?dib=eyJ2IjoiMSJ9.CVvdo6EF7ze2R0AkzW28ry6N9fK49AxNTq2t89fAwpXh-tQc9i64RBl9PYDzN20-yX5ldnOUlxJINvIQP6MDvlpFykTCx2qw8yN1Pm9JinRVHL1JEV00LBW1L8vnsE4PNOcYH6rXyp9nVR1QFG8FAwQhSDtGeWJQ8C7LJL65N8IDo5Qqc1UXfNmhdCX1pXs97AvSH71QQKMWWsXhjNnlu4eui0BXb8NXl1mpJTTh594.JmXgsq-dEpMzyZuNeTt627V5pdZydEWZBIATqZMj7-E&dib_tag=se&keywords=spade%2Blugs&qid=1784005171&sr=8-4&th=1, $ 7.69 
1,12 Gauge Wire,Allow for power streaming over long-distance power injection.,,https://www.amazon.com/Voltage-Automotive-Primary-Security-Electrical/dp/B0D97CJYY7/ref=sr_1_2?crid=2H67LN1ASH9EG&dib=eyJ2IjoiMSJ9.nV6RPufvoJOUrVZDqpxI1yLF0E3bcWZ9MSI66PFTk8XlU2kUqge1MpFQFrxCaBKBn2cfJXZxHXyLesviNPfEESuizSB9_2VqfgW9YQwZrige2GEjrwKzSeWGqDOLAlnnkgtoiUNcJEJxvVWmTnu3nJgQqsFYfSwiclhzfxLcWpZS1e19THpW2D6VPzkrIuVi_CsHByC2fhAUVNPJxY8t6Al07BkmRSwsvkYKAbuBZPhdjl8P0Ir3mdSecpc0Jilfsw8J38QEfbSqTwPIKgcW80eRhwvz-iZs4tS2rFwg_bg.gaI9t_ydGp7A655VS3Kku1_1o_HBW_xSfeMXOjCtw-4&dib_tag=se&keywords=12%2Bgauge%2Bwire%2Bwire&qid=1784005555&refinements=p_36%3A-1400&rnid=1243644011&sprefix=12%2Bgauge%2Bwire%2Bwir%2Caps%2C185&sr=8-2&th=1, $ 11.99 
1,Rod-End Set,Allows for the Differential Mechanism to function.,,https://www.amazon.com/Que-T-10pcs-Metal-Crawler-Silver/dp/B0828TMYLD/ref=sr_1_3?crid=1AARJPGNL8YC5&dib=eyJ2IjoiMSJ9.25GIn2znsJjBiJbrFbJ6RUW1-1BAsb_r1tsz6yO00DjtFSx1fOCCVrsQLaRV9dTXLs2zxMTi4CGexlTgE83O3mVFewHAEQmj3PZlNBlO0q_z3uwE8GBAyM3_CtuA8ah_Rs6y955T_wUwnmdUKtLCThNdAlWf6yiM5xaVbXo_gcMS-_pmdyWmpv9fOJg_GSQJOfA2PWxxtjoyjYcUB5V3uUGSQ3auWvWvmfns23yVao4.hzakTEyXJOnyp5AQGqd9XCi0ydbJaDbCQBGtWv3YZ20&dib_tag=se&keywords=link%2Brod%2Bend%2Bball%2Bjoint%2B4%2Bpiece&qid=1783658426&s=toys-and-games&sprefix=link%2Brod%2Bend%2Bball%2Bjoint%2B4%2Bpie%2Ctoys-and-games%2C177&sr=1-3&th=1, $ 9.99 
1,M3 Screw/Nut Set,Required for the multipart assembly.,,https://www.amazon.com/Fgruh-2300PCS-M3-Assortment-Washers/dp/B0FGX859K8/ref=sr_1_1_sspa?crid=2YVWNRET0VKSF&dib=eyJ2IjoiMSJ9.ANkbzHGwyRZOvBwczPtlHoEZmR4sPNlcjaf1Q7S2YKlID-Pec4fgRzu3QDz9tFYVJsCbRuvjKwXyTs9X9JFJnD6Klbhn9fFouxjqhX9V6kut54inMk9Dr0nZK-5Jmc1HyCJ_Kv4upYsmzmMSwVhM2Nj9b0PiatjUxhSNenBknE42Lfyxhhb8plBIW0cru0CXojMseJnYq4zkkgPtkb-UyMa2Yqq9-mc50MVPGSNH-4Y.0lalIcag6K9Gq-lmKlkghQwMU7RAWLHzTSTYmGtRC3Q&dib_tag=se&keywords=M3%2Bscrew%2Bkit&qid=1784052440&sprefix=m3%2Bscrew%2Bki%2Caps%2C195&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1, $ 21.99 
1,Plumber's Tape,"Alternative to bushing, bridge the ASA with low frictional losses.",,https://www.amazon.com/Inches-Plumbers-Plumbing-Plumber-Sealing/dp/B0919T7JV1/ref=sr_1_1_sspa?crid=LBLF20S0AZTV&dib=eyJ2IjoiMSJ9.2x2gv8Hk_f43I_I0J8tnhXvdIbK8x1nX5rrnGF2NIW5oR6XuE1FC9PkpD3YYCHhCAFD4wKZVdSdGVSxSWrhgPjThAOpeW3UXssY3LUvHDZajXHHEmCSKso-LCZsnAp9yW0CYuL-Lj1l2WxVs-nxaq_EgyrHCUZF3CEaSSYxqasNQfUMtQlJSuHrM5et8cvbi7ZG1JSnuGKIHvEBkXveuvNYu_hcEil_tyayCWS0Yu-o.c6Bvl7dKuMyQ5hCS6aiORYnVNvnEXBKEJQetWwQXKaw&dib_tag=se&keywords=ptfe%2Bthread%2Bseal%2Btape&qid=1784052521&sprefix=PTFE%2BThread%2BS%2Caps%2C189&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1, $ 7.39 
1,Heat-Set Inserts,Required for the multipart assembly.,,https://www.amazon.com/Threaded-Inserts-M3x5-7x4-6-Soldering-Materials/dp/B0D7M4WWBW/ref=sr_1_2?crid=2AY53B7BPLO3P&dib=eyJ2IjoiMSJ9.qhVr3GzItqdyGznevXe_m_5tv0DYB4IDlsWQMjfRs9mQaqeDTwhDvwpfMQrB58dPpR_oZf3h6ql89xyiLifPCcVlqu0S9JJPBUDp2uEbmmqw6AZM4yjfspqP9_8Q6yYwjXa5akJxnaori0qFFaEInC8_O7iCCPpvSV-GJD2MSZ_CENO5ejYeNxv-9thzcWXP65oxjd0NC--WEyL2Y8-yRgLvVswtZGAURuOoElo5QRc.YvEag2aagGYK2JVxwnCyjp1bHjBx6kUYLld95mLCAvU&dib_tag=se&keywords=m3x5.7%2Bheat%2Bset%2Binserts&qid=1784052695&sprefix=m3x5.7%2Bheat%2Bset%2Binserts%2Caps%2C194&sr=8-2&th=1, $ 6.27 
1,Soldering Tin,Required for the stacking header soldering.,,https://www.amazon.com/MAIYUM-63-37-Solder-Electrical-Soldering/dp/B075WB98FJ/ref=sr_1_2_sspa?crid=6ATPKH4ZIWTS&dib=eyJ2IjoiMSJ9.mR5sFJ9BxaWUBfuV5v3_4rZE5EcWhk3E1oZ5hWHaQY5IwzRYfv50X6-fC3vUB8NzE_03TEG9VpcqEB1p9jZXLDm1LakDXd7mHIUN7hahxBVyg6LFuE-gy8TAGvL0pGAH1C-WjxA7xg2gjWTW_l7ie_0JE_0TvzzL03QBspn-dd-lRLju22jBI1gI7Kbcwz60vuNxYn4FZLeVRQIId-tU8H8NXjz9d6iucCc6FPdGDoMkT3hylHiwHkgSxii6SIftZr3mceutpVzgJHS3-AAHxK-0Q73A-yr-c_nI1jpHT5A.8UDvNWK7bFdF2o2CGputQkD1insPh4ZLWLjNuDxwHhg&dib_tag=se&keywords=soldering%2Btin&qid=1784068933&sprefix=soldering%2Btin%2Caps%2C207&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1, $ 8.99 
1,Soldering Iron,Required for the Heat-Set Inserts and the Soldering.,Aliexpress,https://www.aliexpress.us/item/3256809503461511.html?aff_fcid=73121207c1f54420aa7231706f6d897f-1784055401377-05592-_c2u0bvSH&tt=CPS_NORMAL&aff_fsk=_c2u0bvSH&aff_platform=shareComponent-detail&sk=_c2u0bvSH&aff_trace_key=73121207c1f54420aa7231706f6d897f-1784055401377-05592-_c2u0bvSH&terminal_id=a65ce401c1404b688451c0df68c74ddc&afSmartRedirect=y&gatewayAdapt=glo2usa#nav-specification, $ 31.38 
Total:,,,,, $ 809.16 
Total (*with taxes and shipping):,,,,," $ 1,000.00 "
Total (*with taxes and shipping AND prints):,,,,," $ 1,350.00 "
